Complex_Name,Confidence_Score,Protein_Path,Ligand_Path
B4_5_butyraldehyde,-3.37,/root/miniproject/DiffDock/proteinPDB/B4.pdb,/root/miniproject/results_batch/B4_5_butyraldehyde/rank10_confidence-3.37.sdf
B4_44_glutarate semialdehyde,-3.39,/root/miniproject/DiffDock/proteinPDB/B4.pdb,/root/miniproject/results_batch/B4_44_glutarate semialdehyde/rank10_confidence-3.39.sdf
B5_9_2-hydroxypropionaldehyde,-3.42,/root/miniproject/DiffDock/proteinPDB/B5.pdb,/root/miniproject/results_batch/B5_9_2-hydroxypropionaldehyde/rank10_confidence-3.42.sdf
B1_50_10-formyltetrahydrofolate,-3.43,/root/miniproject/DiffDock/proteinPDB/B1.pdb,/root/miniproject/results_batch/B1_50_10-formyltetrahydrofolate/rank10_confidence-3.43.sdf
B4_33_11-cis-Retinol,-3.43,/root/miniproject/DiffDock/proteinPDB/B4.pdb,/root/miniproject/results_batch/B4_33_11-cis-Retinol/rank10_confidence-3.43.sdf
B1_56_S-hydroxy-methylglutathione,-3.43,/root/miniproject/DiffDock/proteinPDB/B1.pdb,/root/miniproject/results_batch/B1_56_S-hydroxy-methylglutathione/rank10_confidence-3.43.sdf
B7_19_dodecanal,-3.44,/root/miniproject/DiffDock/proteinPDB/B7.pdb,/root/miniproject/results_batch/B7_19_dodecanal/rank10_confidence-3.44.sdf
"B4_38_(2R)-2-[(2S,3R,4S)-3,4-Dihydroxy-5-oxo -tetrahydrofuran-2-yl]-2-hydroxy-acetaldehyde",-3.44,/root/miniproject/DiffDock/proteinPDB/B4.pdb,"/root/miniproject/results_batch/B4_38_(2R)-2-[(2S,3R,4S)-3,4-Dihydroxy-5-oxo -tetrahydrofuran-2-yl]-2-hydroxy-acetaldehyde/rank10_confidence-3.44.sdf"
B2_33_11-cis-Retinol,-3.47,/root/miniproject/DiffDock/proteinPDB/B2.pdb,/root/miniproject/results_batch/B2_33_11-cis-Retinol/rank10_confidence-3.47.sdf
B4_36_3-(4-Isopropylphenyl)-2-methylpropanal,-3.47,/root/miniproject/DiffDock/proteinPDB/B4.pdb,/root/miniproject/results_batch/B4_36_3-(4-Isopropylphenyl)-2-methylpropanal/rank10_confidence-3.47.sdf
B2_46_Succinic semialdehyde,-3.5,/root/miniproject/DiffDock/proteinPDB/B2.pdb,/root/miniproject/results_batch/B2_46_Succinic semialdehyde/rank10_confidence-3.50.sdf
B3_14_trans-2-Hexenal,-3.6,/root/miniproject/DiffDock/proteinPDB/B3.pdb,/root/miniproject/results_batch/B3_14_trans-2-Hexenal/rank10_confidence-3.60.sdf
B2_58_S-(4-oxobutan-2-yl)glutathione,-3.61,/root/miniproject/DiffDock/proteinPDB/B2.pdb,/root/miniproject/results_batch/B2_58_S-(4-oxobutan-2-yl)glutathione/rank10_confidence-3.61.sdf
B3_58_S-(4-oxobutan-2-yl)glutathione,-3.63,/root/miniproject/DiffDock/proteinPDB/B3.pdb,/root/miniproject/results_batch/B3_58_S-(4-oxobutan-2-yl)glutathione/rank10_confidence-3.63.sdf
B2_20_Citral,-3.63,/root/miniproject/DiffDock/proteinPDB/B2.pdb,/root/miniproject/results_batch/B2_20_Citral/rank10_confidence-3.63.sdf
"B7_31_(2E,4E,6E,8E)-3,7-dimethyl-9-(2,6,6-trimethylcyclohexen-1-yl)nona-2,4,6,8-tetraenal",-3.64,/root/miniproject/DiffDock/proteinPDB/B7.pdb,"/root/miniproject/results_batch/B7_31_(2E,4E,6E,8E)-3,7-dimethyl-9-(2,6,6-trimethylcyclohexen-1-yl)nona-2,4,6,8-tetraenal/rank10_confidence-3.64.sdf"
B5_32_9-cis-Retinal,-3.64,/root/miniproject/DiffDock/proteinPDB/B5.pdb,/root/miniproject/results_batch/B5_32_9-cis-Retinal/rank10_confidence-3.64.sdf
B7_45_adipate semialdehyde,-3.65,/root/miniproject/DiffDock/proteinPDB/B7.pdb,/root/miniproject/results_batch/B7_45_adipate semialdehyde/rank10_confidence-3.65.sdf
B3_18_decanal,-3.66,/root/miniproject/DiffDock/proteinPDB/B3.pdb,/root/miniproject/results_batch/B3_18_decanal/rank10_confidence-3.66.sdf
B1_53_Pyridoxal phosphate,-3.71,/root/miniproject/DiffDock/proteinPDB/B1.pdb,/root/miniproject/results_batch/B1_53_Pyridoxal phosphate/rank10_confidence-3.71.sdf
B4_59_4-Hydroxynonenal_glutathione,-3.72,/root/miniproject/DiffDock/proteinPDB/B4.pdb,/root/miniproject/results_batch/B4_59_4-Hydroxynonenal_glutathione/rank10_confidence-3.72.sdf
B6_57_S-3-oxopropylglutathione,-3.72,/root/miniproject/DiffDock/proteinPDB/B6.pdb,/root/miniproject/results_batch/B6_57_S-3-oxopropylglutathione/rank10_confidence-3.72.sdf
B1_49_2-Aminomuconic semialdehyde,-3.73,/root/miniproject/DiffDock/proteinPDB/B1.pdb,/root/miniproject/results_batch/B1_49_2-Aminomuconic semialdehyde/rank10_confidence-3.73.sdf
B4_26_trans-2-hexadecenal,-3.74,/root/miniproject/DiffDock/proteinPDB/B4.pdb,/root/miniproject/results_batch/B4_26_trans-2-hexadecenal/rank10_confidence-3.74.sdf
"B2_31_(2E,4E,6E,8E)-3,7-dimethyl-9-(2,6,6-trimethylcyclohexen-1-yl)nona-2,4,6,8-tetraenal",-3.75,/root/miniproject/DiffDock/proteinPDB/B2.pdb,"/root/miniproject/results_batch/B2_31_(2E,4E,6E,8E)-3,7-dimethyl-9-(2,6,6-trimethylcyclohexen-1-yl)nona-2,4,6,8-tetraenal/rank10_confidence-3.75.sdf"
B7_9_2-hydroxypropionaldehyde,-3.75,/root/miniproject/DiffDock/proteinPDB/B7.pdb,/root/miniproject/results_batch/B7_9_2-hydroxypropionaldehyde/rank10_confidence-3.75.sdf
B6_48_alpha-aminoadipate semialdehyde,-3.78,/root/miniproject/DiffDock/proteinPDB/B6.pdb,/root/miniproject/results_batch/B6_48_alpha-aminoadipate semialdehyde/rank10_confidence-3.78.sdf
B7_17_nonanal,-3.79,/root/miniproject/DiffDock/proteinPDB/B7.pdb,/root/miniproject/results_batch/B7_17_nonanal/rank10_confidence-3.79.sdf
B1_59_4-Hydroxynonenal_glutathione,-3.79,/root/miniproject/DiffDock/proteinPDB/B1.pdb,/root/miniproject/results_batch/B1_59_4-Hydroxynonenal_glutathione/rank10_confidence-3.79.sdf
B4_21_cis-2-Octenal,-3.81,/root/miniproject/DiffDock/proteinPDB/B4.pdb,/root/miniproject/results_batch/B4_21_cis-2-Octenal/rank10_confidence-3.81.sdf
B4_10_4-guanidinobutyraldehyde,-3.82,/root/miniproject/DiffDock/proteinPDB/B4.pdb,/root/miniproject/results_batch/B4_10_4-guanidinobutyraldehyde/rank10_confidence-3.82.sdf
B5_8_hexanal,-3.82,/root/miniproject/DiffDock/proteinPDB/B5.pdb,/root/miniproject/results_batch/B5_8_hexanal/rank10_confidence-3.82.sdf
B5_33_11-cis-Retinol,-3.84,/root/miniproject/DiffDock/proteinPDB/B5.pdb,/root/miniproject/results_batch/B5_33_11-cis-Retinol/rank10_confidence-3.84.sdf
B7_59_4-Hydroxynonenal_glutathione,-3.85,/root/miniproject/DiffDock/proteinPDB/B7.pdb,/root/miniproject/results_batch/B7_59_4-Hydroxynonenal_glutathione/rank10_confidence-3.85.sdf
B3_20_Citral,-3.85,/root/miniproject/DiffDock/proteinPDB/B3.pdb,/root/miniproject/results_batch/B3_20_Citral/rank10_confidence-3.85.sdf
B7_12_prop-2-ynal,-3.87,/root/miniproject/DiffDock/proteinPDB/B7.pdb,/root/miniproject/results_batch/B7_12_prop-2-ynal/rank10_confidence-3.87.sdf
B2_36_3-(4-Isopropylphenyl)-2-methylpropanal,-3.87,/root/miniproject/DiffDock/proteinPDB/B2.pdb,/root/miniproject/results_batch/B2_36_3-(4-Isopropylphenyl)-2-methylpropanal/rank10_confidence-3.87.sdf
B6_49_2-Aminomuconic semialdehyde,-3.88,/root/miniproject/DiffDock/proteinPDB/B6.pdb,/root/miniproject/results_batch/B6_49_2-Aminomuconic semialdehyde/rank10_confidence-3.88.sdf
B7_46_Succinic semialdehyde,-3.88,/root/miniproject/DiffDock/proteinPDB/B7.pdb,/root/miniproject/results_batch/B7_46_Succinic semialdehyde/rank10_confidence-3.88.sdf
B4_14_trans-2-Hexenal,-3.88,/root/miniproject/DiffDock/proteinPDB/B4.pdb,/root/miniproject/results_batch/B4_14_trans-2-Hexenal/rank10_confidence-3.88.sdf
B4_47_methylmalonate semialdehyde,-3.89,/root/miniproject/DiffDock/proteinPDB/B4.pdb,/root/miniproject/results_batch/B4_47_methylmalonate semialdehyde/rank10_confidence-3.89.sdf
B3_46_Succinic semialdehyde,-3.89,/root/miniproject/DiffDock/proteinPDB/B3.pdb,/root/miniproject/results_batch/B3_46_Succinic semialdehyde/rank10_confidence-3.89.sdf
B4_34_4-hydroxy-2-nonenal,-3.91,/root/miniproject/DiffDock/proteinPDB/B4.pdb,/root/miniproject/results_batch/B4_34_4-hydroxy-2-nonenal/rank10_confidence-3.91.sdf
B4_51_6R-Tetrahydrofolic acid,-3.91,/root/miniproject/DiffDock/proteinPDB/B4.pdb,/root/miniproject/results_batch/B4_51_6R-Tetrahydrofolic acid/rank10_confidence-3.91.sdf
B3_43_Glutamate-1-semialdehyde,-3.92,/root/miniproject/DiffDock/proteinPDB/B3.pdb,/root/miniproject/results_batch/B3_43_Glutamate-1-semialdehyde/rank10_confidence-3.92.sdf
B6_35_Cinnamaldehyde,-3.93,/root/miniproject/DiffDock/proteinPDB/B6.pdb,/root/miniproject/results_batch/B6_35_Cinnamaldehyde/rank10_confidence-3.93.sdf
